BIRD.ID,Bird.age,Age.next.season,Pre.Rain,Post.Rain,RTL.12,Ad.Grp.size,D4.Mass,Sex,Predation,Birth.Clutch,Group,Season,Surv.next.ssn,fledged,D12.Mass
UUOCN,12,366,3,4,0.960747997,5,NA,F,NA,BO025,BO,2014-15,0,NA,25.5
LRLBA,12,303,45.5,74,1.222532273,3,NA,F,NA,OK017,OK,2014-15,1,NA,35.96
LRLNB,12,300,45.5,74,0.835398156,6,NA,F,NA,SU017,SU,2014-15,1,NA,37.32
LRLIU,11,301,45.5,74,1.206213347,7,NA,F,NA,HY022,HY,2014-15,1,NA,32.574
UUBOB,11,359,0,20,0.769515812,5,NA,M,NA,XM016,XM,2014-15,0,NA,36.254
LRLOI,12,294,45.5,74,1.079725345,4,NA,F,NA,JA021,JA,2014-15,1,NA,32.77
LRLCU,11,259,74,29.5,1.223504489,6,NA,F,NA,JE011,JE,2014-15,0,NA,30.974
LRLNO,12,299,45.5,74,0.860478959,6,NA,F,NA,RA021,RA,2014-15,1,NA,36.8
ONL,12,363,0,4,1.118274133,2,NA,M,NA,RO009,RO,2014-15,0,NA,18.11
LRLBU,11,304,45.5,74,0.777408881,5,NA,F,NA,NY017,NY,2014-15,1,NA,36.914
